CONTROL,WEIGHT,TENURE,INCOME,RENT,MORT_AMT,HOME_VAL,MOVE_YEAR,DIVISION,METRO,TOTROOMS,PERPOVLVL,SOURCE,SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,YEARS_US,DIV_MEDIAN_RENT,Rp,LATE_PAYMENT_FLAG,EVICTION_THREAT,HOUSING_DISTRESS,E_norm,T_norm,HC_WCI
11040832,1184.1279001,1,39000.0,,405.0,301417.0,2003.0,6,99998,5,249.0,AHS_2023,2023,1,0,2.0,20.0,550.0,,,,,0.25,0.6666666666666666,
11040833,3340.8471612,1,100000.0,,1131.0,170271.0,2020.0,5,99999,7,267.0,AHS_2023,2023,1,0,3.0,3.0,1200.0,,0.0,,0.0,0.5,0.1,
11040835,5116.6657042,1,207000.0,,,471904.0,2001.0,4,99998,7,501.0,AHS_2023,2023,1,0,4.0,22.0,690.0,,,,,0.75,0.7333333333333333,
11040840,2405.4074873,1,153330.0,,486.0,343191.0,2019.0,3,16980,7,501.0,AHS_2023,2023,1,0,5.0,4.0,800.0,,,,,1.0,0.13333333333333333,
11040843,2360.9637911,2,12800.0,500.0,,,2020.0,3,16980,3,82.0,AHS_2023,2023,0,1,4.0,3.0,800.0,0.625,,,,0.75,0.1,0.4916666666666667
11040844,2168.6808374,1,641000.0,,1831.0,809086.0,2015.0,3,16980,8,501.0,AHS_2023,2023,1,0,5.0,8.0,800.0,,,,,1.0,0.26666666666666666,
11040845,1990.1348962,2,81000.0,1500.0,,,2011.0,3,16980,6,446.0,AHS_2023,2023,0,1,5.0,12.0,800.0,1.875,0.0,0.0,0.0,1.0,0.4,1.0916666666666666
11040846,2460.2867589,1,2680.0,,,95442.0,1992.0,3,16980,4,15.0,AHS_2023,2023,1,0,4.0,30.0,800.0,,,,,0.75,1.0,
11040847,2197.0128829,2,46000.0,1400.0,,,2019.0,3,16980,5,297.0,AHS_2023,2023,0,1,4.0,4.0,800.0,1.75,0.0,0.0,0.0,0.75,0.13333333333333333,0.8777777777777778
11040848,2084.9675424,1,250000.0,,,307738.0,2019.0,3,16980,3,501.0,AHS_2023,2023,1,0,5.0,4.0,800.0,,,,,1.0,0.13333333333333333,
