yy1,y1,WEIGHT,hhsex,age,agecl,educ,edcl,race,lf,married,kids,INCOME,inccat,NETWORTH,nwcat,housecl,mrthel,rent,turndown,turnfear,late,checking,saving,fin,debt,SURVEY_YEAR,SOURCE,IS_OWNER,IS_RENTER,CREDIT_EXCLUDED,EDU_TIER,Rp
2300,23001,5529.904599180242,1,41,2,8,2,1,1,2,0,49570.39485700855,2,94880.9536423841,2,1,26661.721854304637,,0,0,0,1159.205298013245,4636.82119205298,75348.34437086093,55815.73509933775,2019,SCF,1,0,0.0,3,
2302,23021,10127.042609157961,2,83,6,8,2,1,0,2,1,29978.286413524216,1,469675.2105960265,4,1,0.0,,0,0,0,58157.3298013245,0.0,243630.1774834437,0.0,2019,SCF,1,0,0.0,3,
2303,23031,8442.72183690457,1,85,6,10,3,1,0,1,1,42488.90987743589,2,118644.66225165562,2,1,0.0,,0,0,0,753.4834437086092,19706.490066225164,32052.026490066226,0.0,2019,SCF,1,0,0.0,4,
2304,23041,5224.637523265035,1,70,5,13,4,1,0,1,0,53111.137346794865,3,392506.9139072848,3,1,0.0,,0,0,0,3593.53642384106,0.0,60394.596026490064,0.0,2019,SCF,1,0,0.0,5,
2305,23051,179.93750010639107,1,45,3,14,4,1,1,1,3,1534321.745574074,6,13565020.397350993,5,1,1159205.298013245,,0,0,0,70711.52317880794,0.0,70711.52317880794,1889504.6357615895,2019,SCF,1,0,0.0,5,
2306,23061,6869.457168799958,1,30,1,12,4,1,1,1,0,228968.01433951568,6,253286.35761589403,3,1,433542.7814569537,,0,0,0,2318.41059602649,35935.3642384106,146639.4701986755,618783.7880794702,2019,SCF,1,0,0.0,5,
2307,23071,5738.011316697485,1,66,5,6,1,1,0,2,0,17703.712448931623,1,17619.920529801326,2,2,0.0,,1,1,0,347.7615894039735,0.0,347.7615894039735,0.0,2019,SCF,0,1,1.0,2,
2308,23081,55.94758484019771,1,68,5,12,4,1,1,1,0,313945.8340943875,6,2455196.821192053,5,1,405721.8543046358,,0,0,0,0.0,0.0,1269329.8013245033,405721.8543046358,2019,SCF,1,0,0.0,5,
2309,23091,36.10964119968377,1,51,3,12,4,1,1,1,1,7010670.129776923,6,113380247.31125827,5,1,388333.77483443706,,0,0,0,197064.90066225166,112442.91390728476,2386803.7086092713,667702.2516556291,2019,SCF,1,0,0.0,5,
2310,23101,34.652499732456526,1,73,5,13,4,1,1,1,0,3883014.263799003,6,132252144.33907285,5,1,0.0,,0,0,0,192080.3178807947,0.0,96394528.0,0.0,2019,SCF,1,0,0.0,5,
